Y,X1,X2,X3
27017444,58,823,566
1713362,313,322,17
61090700,190,869,370
37107840,502,420,176
128177280,476,510,528
197938048,784,418,604
375712020,730,729,706
473553815,829,665,859
10425162,827,382,33
697374860,931,860,871
120918756,578,357,586
84777405,541,337,465
85954506,129,682,977
2948160,249,740,16
385668612,444,933,931
526784916,782,903,746
28087332,534,578,91
13642200,636,39,550
99006660,732,635,213
84374400,935,141,640
23832738,69,558,619
37570390,559,611,110
105192792,366,557,516
4933920,541,760,12
1314135,53,435,57
501562152,711,969,728
43187480,422,140,731
141682660,959,445,332
364595,947,11,35
113940324,813,458,306
47483748,241,234,842
65190210,191,930,367
1723293,927,169,11
56119184,88,761,838
551284800,825,848,788
25356630,823,39,790
233325750,375,686,907
127607040,636,760,264
60479694,194,603,517
25361440,890,137,208
69221448,716,738,131
91711328,722,272,467
209401920,448,705,663
150081264,696,249,866
43639713,293,171,871
138331152,564,324,757
77436216,276,327,858
23531760,667,80,441
243264843,571,509,837
96932970,313,465,666
35803824,226,164,966
24652320,920,638,42
176043360,776,995,228
38506776,462,622,134
16139214,819,334,59
111684992,652,808,212
20760576,124,384,436
47699925,325,203,723
7489040,380,758,26
139650168,193,826,876
182614082,967,658,287
105499957,883,733,163
6144600,114,196,275
2180984,13,536,313
53040,85,624,1
177643488,656,746,363
338837056,764,523,848
31775388,122,498,523
299200176,797,528,711
96679557,117,851,971
684468344,838,868,941
84051000,132,849,750
214360344,297,732,986
239239808,632,802,472
548513,617,7,127
39097408,56,886,788
11815578,61,918,211
55123432,91,812,746
23349150,55,890,477
37732500,430,975,90
156882792,607,979,264
104928990,631,241,690
111390825,859,133,975
63387540,753,610,138
184624440,742,330,754
108054786,469,817,282
13439520,272,81,610
21786105,157,145,957
13089622,46,689,413
237591252,857,612,453
2384800,271,88,100
2204475,323,15,455
10928748,991,12,919
48583990,245,526,377
88500300,850,518,201
21250275,97,381,575
55779885,369,245,617
32051520,80,558,718
214885476,446,754,639
4999832,937,232,23
196714496,944,814,256
10180352,832,644,19
96579744,678,614,232
88583040,819,832,130
34014840,185,978,188
53025000,168,505,625
501365376,597,864,972
9787776,142,718,96
24819840,155,278,576
243405,601,9,45
14805882,126,897,131
20054661,121,547,303
298558400,532,920,610
113883208,263,904,479
31004544,614,64,789
2976320,142,40,524
118480656,804,532,277
6068592,306,148,134
24349101,501,131,371
84324570,885,671,142
75985560,798,828,115
1857968,848,313,7
17833608,348,146,351
31221015,409,105,727
42115500,441,125,764
113747816,182,884,707
47213595,715,87,759
178117940,902,637,310
113762376,234,679,716
168796140,447,478,790
40889043,783,507,103
59594976,412,287,504
86839740,510,177,962
116081856,591,372,528
12369696,807,16,958
162457848,603,476,566
1437072,564,52,49
3790150,490,119,65
505817886,713,798,889
26156592,693,56,674
98919730,293,689,490
186027381,621,463,647
53047884,771,668,103
303730371,387,843,931
80107380,954,311,270
50952486,327,338,461
196226995,695,809,349
321042180,921,601,580
73256832,352,564,369
176795136,441,522,768
12759104,944,109,124
266305221,617,651,663
1482240,64,30,772
35730600,85,678,620
96430080,640,219,688
16038624,696,823,28
65863530,430,549,279
26237808,87,488,618
60129300,548,399,275
190219995,879,687,315
195674580,502,710,549
18984108,138,962,143
18672912,712,846,31
6181164,33,198,946
141418156,341,796,521
63522940,236,533,505
45856098,333,177,778
160949516,637,452,559
226074324,658,346,993
124475024,172,956,757
332713584,452,828,889
38631372,886,169,258
83723760,747,120,934
102030300,775,828,159
257933574,678,633,601
4265625,25,325,525
90864384,479,494,384
441520380,735,886,678
16635680,601,32,865
52137176,787,104,637
353743740,922,435,882
4477640,8,785,713
118809600,800,714,208
69028520,110,718,874
632321424,756,844,991
19089000,700,505,54
193614680,692,571,490
207522560,304,920,742
96489072,277,984,354
279925338,539,857,606
24480320,40,677,904
18291728,182,136,739
74166400,602,224,550
136126256,307,749,592
7789824,828,336,28
85206375,575,801,185
7778034,723,66,163
12662892,153,242,342
49457086,614,311,259
35143680,320,704,156
790152,6,164,803
71538555,165,523,829
523966800,980,665,804
37469700,790,765,62
28273618,466,83,731
42148080,711,152,390
203444150,733,427,650
51638112,204,597,424
226632000,284,798,1000
32611950,145,441,510
420558710,895,583,806
348359151,677,749,687
2493795,173,465,31
136139616,424,324,991
118412800,638,200,928
89383000,350,452,565
137152800,360,886,430
207211037,733,341,829
196791312,397,898,552
164820000,820,500,402
4747752,414,244,47
161212032,292,852,648
1233792,7,612,288
132803646,381,439,794
111999888,882,132,962
149980050,615,739,330
164936720,190,982,884
155241437,809,509,377
51676800,769,336,200
235706058,518,513,887
184074912,262,861,816
33940620,315,657,164
68790240,310,402,552
317769984,684,952,488
62062308,154,918,439
66886848,477,626,224
252945024,912,937,296
69712800,937,80,930
195522565,545,967,371
175255488,573,354,864
277154845,913,557,545
238845495,463,595,867
3438240,145,312,76
378184482,442,923,927
12795252,411,181,172
128656000,400,748,430
7321050,986,11,675
213192000,756,282,1000
39415012,98,806,499
101556,93,7,156
